time,isin,yield,vol
10:05:27 AM,PIBL1221A024,1.12,65
10:04:29 AM,PIBL1221A024,1.12,65
10:04:16 AM,PIBL1221D174,1.385,0.5
10:04:14 AM,PIBL1221A042,1.125,1.5
10:03:18 AM,PIBL0621F030,1.07,1.001
10:02:21 AM,PIBL1220K463,1.05,5
10:02:18 AM,PIBL1220K463,1.05,1.002
10:02:15 AM,PIBL1220K463,1.055,100
10:01:20 AM,PIID0522L114,2.1,0.99
9:59:34 AM,PIBD0522A747,1.46,50
9:58:45 AM,PIBD2540I116,5.015,3.5
9:58:40 AM,PIBL1221C120,1.37,180.7
9:58:05 AM,PIBD0522A747,1.475,200
9:57:53 AM,PIBL1220K445,1.064,555.146
9:57:19 AM,PIBL1221E217,1.485,171.043
9:57:04 AM,PIBL1221A015,1.12,2.7
9:56:02 AM,PIBD0726B627,3.535,4.769
9:54:49 AM,PIBL1221C111,1.45,0.197
9:53:37 AM,PIBL1221C120,1.41,200
9:53:35 AM,PIID0525H130,3.0875,1
9:53:25 AM,PIBL1221E217,1.51,200
9:49:33 AM,PIBL1220K463,1.05,1.3
9:49:20 AM,PIBD2540I116,5.015,0.5
9:49:13 AM,PIBD2540I116,5.015,6
9:45:56 AM,PIBL1220L480,1.07,100
9:45:25 AM,PIBD2535L086,5.175,0.26
9:43:56 AM,PIBL1221H312,1.575,1.05
9:36:29 AM,PIID0522L114,2.05,2.5
9:36:15 AM,PIBL1221A033,1.15,1.646
9:36:03 AM,PIBL1220L480,1.115,0.805
9:35:07 AM,PIBL1220L480,1.07,1.1
9:35:06 AM,PIBL1220L480,1.07,1
9:33:34 AM,PIBL1220K445,1.06,300
9:32:52 AM,PIBL1220L505,1.0725,400
9:32:33 AM,PIID0525H130,3.08,3
9:30:47 AM,PIBL1221G297,1.565,0.584
9:29:35 AM,PIBL1220L505,1.0725,400
9:28:26 AM,PIBL1221D174,1.385,0.7
9:20:57 AM,PIBL1221D156,1.32,1
9:20:23 AM,PIBD0522A747,1.4625,"1,000.00"
